Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Chlorophyll RFU,Chlorophyll RFU,Cond µS/cm,Depth m,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,Pressure psi a,Sal psu,SpCond µS/cm,TAL PC RFU,TAL PE RFU,TDS mg/L,Wiper Position volt,pH,pH mV,Temp °C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:04,0,hurricane island,-0.04,0.26,0.5,0.018,0.6,95.9,98.7,8.89,0.026,0,0.6,0.81,2.15,0,1.206,NA,NA,18.991,0.018,44.04052,-68.89126,4.4,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:05,0,hurricane island,-0.03,0.26,0.5,0.018,0.6,95.8,98.6,8.89,0.026,0,0.6,0.81,2.14,0,1.206,NA,NA,18.989,0.018,44.04052,-68.89127,4.8,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:06,0,hurricane island,-0.02,0.27,0.5,0.018,0.6,95.8,98.6,8.89,0.026,0,0.6,0.81,2.15,0,1.206,NA,NA,18.985,0.018,44.04052,-68.89126,4.7,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:07,0,hurricane island,-0.02,0.27,0.5,0.018,0.6,95.8,98.6,8.89,0.026,0,0.6,0.82,2.14,0,1.206,NA,NA,18.982,0.018,44.04052,-68.89126,4.9,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:08,0,hurricane island,-0.02,0.27,0.5,0.018,0.6,95.8,98.6,8.89,0.026,0,0.6,0.82,2.16,0,1.206,NA,NA,18.978,0.018,44.04052,-68.89126,4.8,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:09,0,hurricane island,-0.01,0.27,0.5,0.018,0.6,95.8,98.6,8.89,0.026,0,0.6,0.82,2.17,0,1.206,NA,NA,18.973,0.018,44.04052,-68.89126,5,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:10,0,hurricane island,-0.01,0.27,0.5,0.018,0.6,95.8,98.5,8.89,0.026,0,0.6,0.82,2.16,0,1.206,NA,NA,18.968,0.018,44.04052,-68.89126,5.1,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:11,0,hurricane island,-0.01,0.27,0.5,0.018,0.6,95.8,98.5,8.89,0.026,0,0.6,0.82,2.16,0,1.206,NA,NA,18.963,0.018,44.04052,-68.89126,4.8,6.26,11.7,761.1,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:12,0,hurricane island,-0.01,0.27,0.5,0.018,0.6,95.7,98.5,8.89,0.026,0,0.6,0.81,2.16,0,1.206,NA,NA,18.958,0.018,44.04052,-68.89126,4.9,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:13,0,hurricane island,-0.01,0.27,0.5,0.018,0.6,95.7,98.5,8.89,0.026,0,0.6,0.81,2.15,0,1.206,NA,NA,18.953,0.018,44.04052,-68.89126,4.7,6.26,11.7,761.1,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:14,0,hurricane island,-0.01,0.28,0.5,0.018,0.6,95.7,98.5,8.89,0.026,0,0.6,0.8,2.14,0,1.206,NA,NA,18.948,0.017,44.04052,-68.89126,4.6,6.26,11.7,761.1,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:15,0,hurricane island,-0.01,0.28,0.6,0.018,0.6,95.7,98.5,8.89,0.026,0,0.6,0.81,2.14,0,1.206,NA,NA,18.943,0.017,44.04052,-68.89126,4.5,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:16,0,hurricane island,0,0.29,0.6,0.018,0.7,95.7,98.5,8.89,0.026,0,0.7,0.79,2.15,0,1.206,NA,NA,18.938,0.017,44.04052,-68.89126,4.3,6.26,11.7,761.1,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:17,0,hurricane island,0,0.29,0.7,0.018,0.8,95.7,98.5,8.89,0.026,0,0.8,0.8,2.16,1,1.206,NA,NA,18.932,0.016,44.04052,-68.89126,4.5,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:18,0,hurricane island,0,0.28,0.7,0.018,0.8,95.6,98.4,8.89,0.026,0,0.8,0.8,2.15,1,1.206,NA,NA,18.924,0.016,44.04052,-68.89126,4.6,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:19,0,hurricane island,0.01,0.29,0.8,0.018,0.9,95.6,98.4,8.89,0.026,0,0.8,0.8,2.14,1,1.206,NA,NA,18.919,0.016,44.04052,-68.89126,4.5,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:20,0,hurricane island,0,0.3,0.8,0.018,0.9,95.6,98.4,8.88,0.025,0,0.9,0.81,2.15,1,1.206,NA,NA,18.903,0.017,44.04052,-68.89126,4.1,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:21,0,hurricane island,-0.01,0.3,0.8,0.018,1,95.6,98.3,8.88,0.025,0,0.9,0.81,2.15,1,1.206,NA,NA,18.893,0.017,44.04052,-68.89126,4.3,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:22,0,hurricane island,0,0.3,0.8,0.018,1,95.6,98.3,8.88,0.025,0,1,0.82,2.15,1,1.206,NA,NA,18.886,0.017,44.04052,-68.89126,3.8,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:23,0,hurricane island,0,0.31,0.9,0.018,1,95.5,98.3,8.88,0.025,0,1,0.81,2.14,1,1.206,NA,NA,18.865,0.017,44.04052,-68.89126,3.5,6.26,11.7,761.1,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:24,0,hurricane island,0,0.31,0.9,0.018,1,95.5,98.2,8.88,0.025,0,1,0.81,2.13,1,1.206,NA,NA,18.858,0.017,44.04052,-68.89126,3.5,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:25,0,hurricane island,0,0.32,1,0.018,1.1,95.4,98.2,8.88,0.025,0,1.1,0.8,2.12,1,1.206,NA,NA,18.835,0.017,44.04052,-68.89126,3.6,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:26,0,hurricane island,0,0.31,1,0.018,1.2,95.3,98.1,8.88,0.025,0,1.1,0.81,2.12,1,1.206,NA,NA,18.818,0.016,44.04052,-68.89126,4,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:27,0,hurricane island,0,0.31,1,0.018,1.2,95.3,98.1,8.87,0.025,0,1.2,0.8,2.11,1,1.206,NA,NA,18.81,0.017,44.04052,-68.89126,4.1,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:28,0,hurricane island,0,0.3,1.1,0.018,1.3,95.3,98,8.87,0.025,0,1.3,0.82,2.1,1,1.206,NA,NA,18.786,0.017,44.04052,-68.89126,4.3,6.26,11.7,761.1,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:29,0,hurricane island,-0.01,0.3,1.1,0.018,1.3,95.3,98,8.88,0.025,0,1.3,0.84,2.1,1,1.206,NA,NA,18.77,0.018,44.04052,-68.89126,4.9,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:30,0,hurricane island,0,0.29,1.1,0.018,1.3,95.2,98,8.88,0.025,0,1.3,0.84,2.1,1,1.206,NA,NA,18.753,0.016,44.04052,-68.89125,4.9,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:31,0,hurricane island,0,0.28,1.1,0.017,1.3,95.2,98,8.88,0.025,0,1.3,0.85,2.1,1,1.206,NA,NA,18.739,0.017,44.04052,-68.89125,4.1,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:32,0,hurricane island,0.01,0.27,1.1,0.017,1.3,95.2,98,8.88,0.025,0,1.3,0.87,2.09,1,1.206,NA,NA,18.725,0.016,44.04052,-68.89125,3.9,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:33,0,hurricane island,0,0.28,1.1,0.017,1.3,95.2,98,8.88,0.025,0,1.3,0.87,2.09,1,1.206,NA,NA,18.718,0.016,44.04052,-68.89125,3.7,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:34,0,hurricane island,0,0.28,1.1,0.017,1.3,95.2,98,8.89,0.025,0,1.3,0.88,2.09,1,1.206,NA,NA,18.702,0.017,44.04052,-68.89124,3.7,6.26,11.7,761.1,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:35,0,hurricane island,0,0.29,1.1,0.017,1.3,95.2,98,8.89,0.025,0,1.3,0.88,2.09,1,1.206,NA,NA,18.693,0.016,44.04052,-68.89124,3.7,6.26,11.7,761.1,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:36,0,hurricane island,0,0.28,1.1,0.017,1.3,95.3,98,8.89,0.024,0,1.3,0.88,2.1,1,1.206,NA,NA,18.685,0.016,44.04052,-68.89124,3.8,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:37,0,hurricane island,0,0.29,1.1,0.017,1.3,95.3,98,8.89,0.024,0,1.3,0.87,2.13,1,1.206,NA,NA,18.679,0.016,44.04052,-68.89124,3.2,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:38,0,hurricane island,0.01,0.29,1.1,0.017,1.3,85.7,88.2,8,0.024,0,1.3,0.87,2.15,1,1.206,NA,NA,18.675,0.022,44.04052,-68.89125,3.4,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:39,0,hurricane island,0.09,0.33,3,0.02,3.6,89.5,92.1,8.36,0.029,0,3.6,0.78,2.17,2,1.206,NA,NA,16.915,0.162,44.04052,-68.89126,3.5,6.26,11.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:40,0,hurricane island,0.15,0.38,40317,0.025,49002.7,92.8,95.5,8.99,0.037,31.57,48334.4,0.7,2.18,31417,1.206,NA,NA,16.316,0.265,44.04052,-68.89126,3.3,6.26,11.7,761.1,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,14:25:41,0,hurricane island,0.17,0.42,40322.3,0.029,49290.8,93.7,96.4,7.55,0.042,31.77,48606,0.61,2.18,31594,1.206,NA,NA,15.998,0.342,44.04052,-68.89126,3.3,6.26,11.7,761.1,,,,,,,,,,,,,,,,,,,,,,,,,,
