,Date,Sample Site,Farm or Distant,Site,Chlorophyll RFU...5,Chlorophyll RFU...6,Cond µS/cm,Depth,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,Pressure psi a,Sal psu,SpCond µS/cm,TAL PC RFU,TAL PE RFU,TDS mg/L,Wiper Position volt,pH,pH mV,Temp °C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg,Depth Round,Time (HH:mm:ss)
124,9/2/20,ST Distant,Distant,ST,0.710222222,0.805555556,40620.68,8.961533333,52371.17333,93.20222222,95.91333333,7.804888889,13.06864444,33.85511111,51540.86444,0.221111111,0.581333333,33501.53333,1.19,8.120444444,-63.68,13.90682222,9.1814,44.12326667,-68.72215533,-2.822222222,6.106666667,11.65111111,765.2044444,8.933333333,27795.6
127,9/9/20,ST Distant,Distant,ST,1.08,1.139310345,41258.56552,8.997758621,52962.2931,96.34137931,99.14137931,8.017241379,13.12548276,34.29482759,52129.63793,0.113448276,1.795172414,33884.24138,1.19,8.176896552,-66.93448276,14.08248276,9.148551724,44.12343862,-68.72098552,1.072413793,6.102758621,11.7,769.9827586,9.034482759,52937.24138
109,10/14/20,ST Distant,Distant,ST,0.424666667,0.498,40040.53333,9.194666667,52825.62667,90.5,93.13333333,7.71,13.41373333,34.12466667,51955.86,0.17,-0.335333333,33771.26667,1.19,8.209333333,-68.35333333,12.99333333,9.382933333,44.122008,-68.71992,-0.593333333,6.061333333,11.63333333,756.6733333,9.133333333,53404.6
110,11/9/20,ST Distant,Distant,ST,0.870909091,1.421818182,38093.70909,8.69,53292.12727,96.17272727,98.98181818,8.582727273,12.68463636,34.30636364,52367.81818,0.325454545,1.006363636,34039,1.19,8.2,-67.32727273,10.729,8.752727273,44.12287545,-68.71995,2.018181818,6.05,11.7,769.5818182,8.727272727,39272.27273
111,7/13/21,ST Distant,Distant,ST,NA,1.034210526,38439.12632,8.915842105,49923.17895,112.0105263,112.7789474,9.54,12.98557895,32.07842105,49121.21579,0.536842105,NA,31928.89474,NA,7.856315789,-78.57368421,13.614,9.104473684,44.12502526,-68.71952632,4.078947368,3.52,11.8,770.2842105,9,27337.21053
115,7/28/21,ST Distant,Distant,ST,NA,0.591428571,38586.52143,9.044,49934.83571,106.9357143,107.6571429,9.081428571,13.17192857,32.095,49137.63571,0.475714286,NA,31939.42857,NA,7.843571429,-78.12857143,13.75778571,9.129714286,44.12288929,-68.72107429,3.857142857,3.306428571,11.74285714,761.5785714,9.071428571,33616.71429
117,8/17/21,ST Distant,Distant,ST,1.346,1.265333333,39878.55333,9.306733333,49952.33333,108.8,109.5133333,8.990666667,13.55186667,32.18333333,49208.68,0.482666667,3.727333333,31985.53333,NA,7.836,-77.84,15.07313333,9.2906,44.12311733,-68.72057533,8.393333333,3.086666667,11.55333333,766.9866667,9.333333333,23616.33333
119,8/25/21,ST Distant,Distant,ST,0.737058824,0.831176471,40081.01765,8.759823529,49927.7,104.7176471,105.4,8.616470588,12.75488235,32.17764706,49195.01765,0.447058824,1.990588235,31976.64706,NA,7.886470588,-80.54117647,15.30064706,8.971882353,44.12291529,-68.72096706,4.217647059,2.8,11.7,762.6647059,8.764705882,30605.52941
122,9/1/21,ST Distant,Distant,ST,0.71,0.730434783,40018.41739,8.809608696,49962.57826,103.6391304,104.3304348,8.54173913,12.8276087,32.19869565,49225.04783,0.429130435,2.042173913,31996.43478,NA,7.869130435,-79.65217391,15.20734783,8.988391304,44.12175826,-68.72009478,-1.343478261,2.31173913,11.7,756.7478261,8.826086957,38822.52174
126,9/8/21,ST Distant,Distant,ST,0.728666667,0.742666667,39600.10667,8.8248,50118.32,100.1,100.76,8.338666667,12.85233333,32.27866667,49353.52667,0.450666667,2.215333333,32079.8,NA,7.89,-80.68,14.65346667,8.905066667,44.126466,-68.71928733,4.713333333,2.15,11.7,760.2,8.8,35660.46667
123,9/16/21,ST Distant,Distant,ST,0.934615385,1.038461538,40002.68462,8.893538462,50011.45385,101.3538462,102.0307692,8.362307692,12.95038462,32.23,49270.57692,0.466153846,2.905384615,32025.84615,NA,7.834615385,-77.78461538,15.15192308,9.054,44.12205692,-68.72052923,5.715384615,1.98,11.62307692,766.9307692,8.923076923,27972.76923
125,9/28/21,ST Distant,Distant,ST,0.39,0.379090909,40060.65909,8.704772727,49856.82273,97.51363636,98.16818182,8.020454545,12.67409091,32.13,49126.98182,0.349545455,0.914090909,31932.54545,NA,7.836363636,-77.87272727,15.33859091,8.810954545,44.12157682,-68.72135136,9,1.743636364,11.63636364,756.0045455,8.681818182,22625.40909
108,10/13/21,ST Distant,Distant,ST,0.362173913,0.425652174,39648.96957,9.039608696,50526.72609,95.90434783,96.53043478,8.020434783,13.16843478,32.55608696,49743.96087,0.407826087,0.693043478,32333.56522,NA,7.87,-79.34782609,14.37482609,9.109347826,44.12377087,-68.72068087,1.395652174,1.598695652,11.7,761.8956522,8.956521739,37513.47826
92,7/15/20,ST Farm,Farm,ST,0.603125,0.6175,39563.14375,9.298625,51486.575,99.04375,101.925,8.391875,13.5544375,33.194375,50657.5,-0.5075,2.798125,32927.4375,1.2065,NA,NA,13.5378125,9.367875,44.14123875,-68.70705188,4.06875,6.25,11.7,766.9375,9.4375,31196.25
93,7/22/20,ST Farm,Farm,ST,0.648571429,0.712857143,39634.44286,8.949285714,51456.93571,98.64285714,101.5071429,8.342857143,13.04471429,33.17857143,50631.05,-0.51,2.784285714,32910.14286,1.206571429,NA,NA,13.62885714,9.123571429,44.14180857,-68.70708,3.164285714,6.24,11.7,764.3785714,8.857142857,34144.78571
94,7/28/20,ST Farm,Farm,ST,1.196363636,1.285,40427.49091,9.134772727,52069.74091,102.3954545,105.3727273,8.580454545,13.31904545,33.64045455,51245.88636,-0.407272727,4.316818182,33309.81818,1.207,8.163636364,-66.1,13.94659091,9.407909091,44.1417,-68.70666955,3.35,6.226363636,11.63181818,752.9181818,NA,28168
101,8/4/20,ST Farm,Farm,ST,0.937619048,1.02,40128.2,8.964857143,51724.44286,96.78571429,99.6047619,8.127142857,13.069,33.39,50904.65714,-0.477619048,4.057142857,33088.09524,1.207,8.131428571,-64.22857143,13.91609524,9.237857143,44.14183762,-68.70685619,4.238095238,6.214285714,11.7,764.3285714,9,28193
96,8/12/20,ST Farm,Farm,ST,1.23,1.280952381,41627.00476,9.023238095,52197.00952,101.8428571,104.8047619,8.340952381,13.15509524,33.79857143,51418.30952,-0.527619048,4.431428571,33421.90476,1.207,8.158571429,-66.15714286,15.032,9.230190476,44.14175619,-68.70669857,3.528571429,6.2,11.7,760.4333333,NA,28358.7619
98,8/18/20,ST Farm,Farm,ST,1.3403125,1.5040625,41718.68438,8.95003125,52504.27813,99.209375,102.1,8.1403125,13.051125,34.0109375,51713.525,-0.4221875,5.1584375,33613.78125,1.20678125,8.1409375,-65.065625,14.88134375,9.074,44.14186719,-68.70685156,6.071875,6.124375,9.99375,756.878125,8.75,27969.28125
100,8/28/20,ST Farm,Farm,ST,0.65,0.649411765,40687.12353,8.890882353,52309.20588,91.54705882,94.2,7.651176471,12.965,33.81529412,51484.35882,-0.537647059,2.714117647,33464.82353,1.206,8.128823529,-64.17058824,14.02041176,9.094647059,36.35211706,-56.58225176,4.117647059,6.121764706,11.63529412,755.1882353,8.941176471,26107.88235
104,9/2/20,ST Farm,Farm,ST,0.984210526,1.111052632,40886.64737,9.112,52363.97895,94.13157895,96.91578947,7.838947368,13.28773684,33.86684211,51544.37368,0.301578947,1.46,33503.84211,1.19,8.166315789,-66.28421053,14.17447368,9.303,44.14176,-68.70689579,2.9,6.1,11.64736842,764.8894737,9,29069.78947
87,10/14/20,ST Farm,Farm,ST,0.4375,0.451666667,40045.6375,9.200416667,52935.6125,90.47916667,93.10833333,7.716666667,13.42329167,34.19875,52061.625,0.064583333,-0.483333333,33840.08333,1.19,8.1675,-66.05833333,12.91595833,9.4885,44.14166625,-68.70668208,-1.120833333,6.070833333,11.7,756.4291667,9.25,51777.625
88,11/9/20,ST Farm,Farm,ST,0.936818182,0.785454545,38089.93182,8.739772727,53295.42273,95.96818182,98.76818182,8.565909091,12.75745455,34.30818182,52370.99091,0.175909091,2.514090909,34041.13636,1.19,8.085454545,-60.90909091,10.72313636,8.936363636,44.14169864,-68.70658364,1.15,6.05,11.7,769.7818182,8.727272727,36830.13636
89,12/10/20,ST Farm,Farm,ST,0.176842105,0.125789474,35215.32105,8.996894737,53385.45263,91.25263158,93.86315789,8.696842105,13.13715789,34.14842105,52483.31579,0.138421053,-1.293157895,34114.21053,1.19,8.162105263,-64.76842105,7.773842105,9.226263158,44.14065211,-68.70668737,6.831578947,6.03,11.68947368,757.2105263,8.947368421,33426.47368
85,1/9/21,ST Farm,Farm,ST,0.156428571,0.154285714,32789.82857,8.666,53583.92857,93.76428571,96.47857143,9.497857143,12.65757143,34.06,52799.82857,0.227142857,-1.353571429,34319.92857,1.19,8.25,-68.67142857,5.158214286,8.939142857,44.14090571,-68.70655929,1.907142857,6.007857143,11.67857143,755.7642857,8.714285714,42131.14286
90,3/24/21,ST Farm,Farm,ST,0.365,0.423125,31299.36875,8.948625,53997.00625,102.03125,105.01875,10.793125,13.07375,34.17625,53359.925,0.3025,-0.419375,34684.125,1.18975,8.1225,-61.56875,3.3545,8.9741875,44.142585,-64.41410813,4.95625,5.971875,11.7,768.78125,9,26538
91,7/13/21,ST Farm,Farm,ST,NA,0.741333333,38215.96667,8.8734,50004.76,107.4333333,108.1533333,9.205333333,12.925,32.12066667,49191.47333,0.547333333,NA,31974.53333,NA,7.785333333,-74.73333333,13.31853333,8.918733333,44.141798,-68.707182,3.986666667,3.51,11.8,770.12,8.933333333,26485.6
95,7/28/21,ST Farm,Farm,ST,NA,0.5425,38808.9625,8.991125,49929.4375,106.01875,106.725,8.9625,13.0943125,32.105625,49140.9375,0.484375,NA,31941.5625,NA,7.694375,-69.9,13.992,9.0234375,44.14173813,-68.7068625,7.1,3.28375,11.71875,761.59375,9.0625,25531.5
97,8/17/21,ST Farm,Farm,ST,1.048333333,1.126666667,39885.43333,8.94,50031.61111,106.6555556,107.3611111,8.822222222,13.01844444,32.23666667,49284.19444,0.526666667,3.347222222,32034.83333,NA,7.895555556,-81.10555556,15.01572222,9.023611111,44.14181667,-68.70686611,5.144444444,3.089444444,11.6,766.9166667,8.888888889,24871.16667
99,8/25/21,ST Farm,Farm,ST,0.4765,0.466,39932.79,8.75175,49962.455,99.145,99.79,8.187,12.7437,32.193,49220.82,0.3635,1.386,31993.45,NA,7.775,-74.36,15.12045,8.8041,44.1418015,-68.706735,3.865,2.7975,11.675,762.71,9.05,28151
102,9/1/21,ST Farm,Farm,ST,0.673333333,0.68,40212.69333,8.9018,49929.39333,102.7,103.3733333,8.427333333,12.9612,32.18866667,49203.36667,0.445333333,1.64,31982.2,NA,7.778666667,-74.60666667,15.43393333,9.0036,44.14174333,-68.70670667,3.693333333,2.26,11.7,756.26,8.866666667,28494
107,9/8/21,ST Farm,Farm,ST,1.0025,0.975833333,39953.55,9.22275,50063.40833,103.2,103.8916667,8.528333333,13.43033333,32.26,49317.45,0.465833333,3.2225,32056.58333,NA,7.861666667,-79.33333333,15.05916667,9.393916667,44.14207417,-68.70695583,-1.816666667,2.168333333,11.7,760.1916667,9.333333333,34090.33333
103,9/16/21,ST Farm,Farm,ST,0.852941176,0.89,39956.47059,9.168352941,50072.52941,99.8,100.4529412,8.246470588,13.35105882,32.26823529,49326.24118,0.452941176,2.525882353,32062.05882,NA,7.88,-80.24705882,15.05429412,9.273058824,44.14165176,-68.70673059,5.382352941,1.977647059,11.7,767.1,9.058823529,29489.11765
105,9/22/21,ST Farm,Farm,ST,0.831875,0.795625,40236.44375,8.8681875,50351.7375,104.31875,105.01875,8.6,12.91575,32.47,49603.95,0.459375,2.563125,32242.5625,NA,7.911875,-82.05625,15.1126875,9.0365625,44.14181188,-68.70683063,4.21875,1.881875,11.38125,768.50625,8.875,35560.75
106,9/28/21,ST Farm,Farm,ST,0.306875,0.32625,40230.8875,8.7318125,49862.35625,96.6875,97.33125,7.925,12.713125,32.143125,49140.59375,0.38875,0.73375,31941.3125,NA,7.85875,-78.95,15.5074375,8.948625,44.14163063,-68.70568188,2.24375,1.75,11.5125,756.1875,8.75,23468.75
86,10/13/21,ST Farm,Farm,ST,0.435,0.4885,39724.495,9.23115,50553.735,95.62,96.255,7.9865,13.44755,32.579,49772.83,0.421,0.7775,32352.4,NA,7.85,-78.295,14.43005,9.45415,44.1418125,-68.7067805,11.75,1.581,11.7,761.985,9.25,36638.7
